guests,bedrooms,beds,baths,rating,reviews,is_superhost_no,is_superhost_yes,wifi_yes,kitchen_no,kitchen_yes,parking_no,parking_yes,pool_no,pool_yes,shared_bath_no,shared_bath_yes
4,2,2,2.5,4.89,20,1,0,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,0,1,1,0,1,0,1,0,1,1,0
2,0,1,1.0,4.84,49,1,0,1,0,1,0,1,1,0,1,0
3,1,1,2.5,4.33,3,1,0,1,0,1,0,1,1,0,1,0
3,1,0,1.0,5.0,4,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.8,5,1,0,1,0,1,0,1,0,1,1,0
2,2,2,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
3,1,2,1.5,4.9,29,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.8,35,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.71,7,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,0,1,1,0,1,0,1,0,1,1,0
4,2,2,2.0,4.65,17,0,1,1,0,1,0,1,0,1,1,0
2,1,0,1.0,0.0,0,0,1,1,1,0,1,0,1,0,1,0
2,1,1,1.5,5.0,4,0,1,1,0,1,0,1,1,0,1,0
2,0,1,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,5.0,15,1,0,1,0,1,1,0,1,0,1,0
2,1,1,1.5,4.88,17,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,0.0,0,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,4.6,5,1,0,1,0,1,0,1,0,1,1,0
4,2,2,1.5,4.91,11,0,1,1,0,1,1,0,1,0,1,0
2,1,1,1.0,4.75,20,0,1,1,0,1,0,1,0,1,1,0
2,1,0,1.5,4.86,7,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.87,63,0,1,1,0,1,0,1,1,0,1,0
5,2,2,1.5,4.88,41,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.0,5.0,5,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.5,4.59,22,1,0,1,0,1,0,1,0,1,1,0
2,1,1,1.0,4.6,10,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,4.8,41,0,1,1,0,1,0,1,1,0,1,0
4,3,3,2.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,1,1,2.5,4.68,22,0,1,1,0,1,0,1,0,1,1,0
4,2,2,2.0,4.5,12,0,1,1,0,1,0,1,1,0,1,0
2,0,2,1.0,0.0,0,1,0,1,0,1,0,1,1,0,1,0
2,0,1,1.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0
2,0,1,1.0,0.0,0,1,0,1,0,1,1,0,1,0,1,0
2,1,0,1.0,5.0,20,0,1,1,0,1,0,1,1,0,1,0
2,1,1,1.5,4.38,24,1,0,1,0,1,0,1,1,0,1,0
